ID,Name,Owner,Dine_Type,Mailing_Address,Billing_Address,Postal_Code,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Business_Owner_Year,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Guest_Capacity,Business_Start_Hour,Business_End_Hour,Franchise,Own_Lease,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Customers_Weekly_Before_Covid,Customers_Weekly_During_Covid,Customers_Weekly_During_Reopen,Helpfulness
2043,GILANEH,Leon Torphy,Restaurant,900 YORK MILLS RD,900 YORK MILLS RD,"NA",8564869584,1943795794,mn@krozi.ohc,"NA",Over 20 years,6-10 years,17,10,12,19,14,21,Y,Y,N,Y,Italian,N,Average,30,11,17,N,Own,4216444,685598,4656078,13810,16863,31927,158,265,396,4
2044,GIN MILL,Mabel Keeling,Restaurant,2202 BLOOR ST W,2202 BLOOR ST W,"NA",9163988415,5432488674,zmcpran@o.gkm,"NA",1-5 years,1-5 years,8,25,21,35,22,36,Y,Y,Y,N,Korean,N,Average,67,10,21,N,Lease,1789533,860546,4133463,37001,12249,38850,342,21,452,2
2045,GINGER,Georgann Conroy,Restaurant,546 CHURCH ST,546 CHURCH ST,"NA",2156738219,1651388735,ucamzehw@kcjdi.qxu,"NA",1-5 years,1-5 years,18,28,17,15,20,4,Y,Y,Y,N,Korean,Y,Average,112,12,17,N,"Lease, want to purchase",822978,93462,4336471,11967,11844,29383,16,242,302,2
2046,GINGER,Nichole Weber,Restaurant,355 YONGE ST,355 YONGE ST,"NA",3483588571,4781353415,xztvcy@xrvn.ozr,"NA",1-5 years,1-5 years,15,10,20,18,4,16,Y,Y,N,Y,Others,N,High-end,38,11,21,Y,Own,3326274,458369,289767,16467,2609,17777,105,456,340,1
2047,GINGER PHO,Daisey Bauch,Restaurant,2590 WESTON RD,2590 WESTON RD,"NA",5947933951,1723821569,z@sro.qny,"NA",11-20 years,Over 20 years,20,9,23,16,2,31,Y,Y,N,N,Others,N,Low-end,104,11,22,Y,Own,3139539,439386,4463822,29298,14785,17152,79,424,273,3
2048,GINGER RESTAURANT,Reed Mante,Restaurant,695 YONGE ST,695 YONGE ST,"NA",1931974987,8173192837,vkbxraih@wshkar.zwa,"NA",11-20 years,Over 20 years,14,22,29,22,19,2,Y,N,N,N,American,N,Low-end,45,10,20,N,Own,1402820,496216,4368555,3461,22185,22335,247,369,430,2
2049,GINGER RESTAURANT,Elliott Ratke,Restaurant,212 QUEEN ST W,212 QUEEN ST W,"NA",6238139326,4584398746,gvzjuimh@aeyns.bif,"NA",6-10 years,11-20 years,24,29,16,28,0,17,Y,N,Y,Y,Mediterranean,Y,High-end,119,10,18,N,Lease,2584435,832617,3303437,38577,12837,5596,295,340,298,4
2050,GINGERMAN RESTAURANT,Rocio Ebert,Restaurant,1104 VICTORIA PARK AVE,1104 VICTORIA PARK AVE,"NA",8544966125,2691898476,kyrzh@zlxoakgnf.bag,"NA",11-20 years,Over 20 years,6,13,22,20,9,18,Y,N,Y,N,Italian,N,Low-end,133,11,21,N,Own,632106,975695,4780710,2858,20629,13143,473,209,238,1
2051,GINKO JAPANESE RESTAURANT,Lawrence Langworth,Restaurant,"655 DIXON RD, Unit-7","655 DIXON RD, Unit-7","NA",7351622748,3563182483,hrjnvdslb@femrvtkbau.cld,"NA",11-20 years,11-20 years,16,16,16,25,35,31,Y,Y,Y,Y,Italian,Y,Average,71,9,17,N,Lease,2420576,460753,4149724,17408,20528,38361,84,237,100,4
2052,GINO'S PIZZA & WING MACHINE,Sylvester Kessler,Restaurant,2524 FINCH AVE W,2524 FINCH AVE W,"NA",1727546714,2519277163,ovuwipzjrd@ixnbzdye.njt,"NA",1-5 years,11-20 years,15,7,29,33,14,16,Y,Y,N,N,Italian,Y,Low-end,115,9,18,Y,Lease,2061382,514990,2707396,29291,14896,21432,441,158,440,2
2053,GINO'S PIZZA/WING MACHINE,Vinita Nicolas,Restaurant,2387 YONGE ST,2387 YONGE ST,"NA",9637366423,4285245378,dcp@ajz.oku,"NA",1-5 years,11-20 years,19,16,22,31,2,17,Y,N,Y,N,Mediterranean,Y,Average,102,10,17,N,Own,2883867,522797,3565081,12518,16143,8132,473,20,180,3
2054,GINOS PIZZA AND WING MACHINE,Anastasia Swift,Restaurant,802 COLLEGE ST,802 COLLEGE ST,"NA",1354762491,6834572197,gejab@myijoxrbgu.gln,"NA",11-20 years,Over 20 years,23,1,13,8,0,15,Y,Y,Y,N,Italian,Y,High-end,113,9,18,Y,Lease,4127944,157467,1188467,880,14527,29909,308,5,440,2
2055,GIO RANA'S REALLY REALLY NICE RESTAURANT,Louanne Klocko,Restaurant,1220 QUEEN ST E,1220 QUEEN ST E,"NA",3511866954,2816172948,p@th.gma,"NA",1-5 years,1-5 years,21,20,18,20,11,15,N,Y,Y,N,Italian,Y,Low-end,7,10,18,N,Lease,60024,644382,2364137,35450,12509,13783,68,169,167,2
2056,GIOVANNI'S ITALIAN KITCHEN & PIZZA BAR,Vennie Becker,Restaurant,760 COLLEGE ST,760 COLLEGE ST,"NA",1962977125,5432786289,ukjcf@alubgxzp.sne,"NA",1-5 years,6-10 years,14,16,19,15,25,13,Y,Y,Y,N,Thai,Y,Average,98,11,22,N,Lease,4257086,777961,1048765,26050,16715,17081,138,247,221,1
2057,GIULIETTA,Gerald Huels,Restaurant,"972 COLLEGE ST, Bldg-1","972 COLLEGE ST, Bldg-1","NA",9267458326,1365319726,bm@o.zgm,"NA",1-5 years,11-20 years,10,14,13,27,11,7,N,Y,Y,Y,Mediterranean,N,High-end,84,10,17,Y,Own,1135291,448844,4193839,6180,4787,1951,369,20,131,3
2058,GLAD DAY,Ricardo Kshlerin,Restaurant,499 CHURCH ST,499 CHURCH ST,"NA",4197451975,6924617451,ek@styz.rqc,"NA",Under 1 year,1-5 years,21,11,4,10,10,31,Y,N,Y,Y,Mediterranean,N,High-end,92,9,17,Y,Lease,4138255,545747,2340344,37360,18795,36310,381,433,44,4
2059,GLADSTONE HOTEL,Tristan Wehner,Restaurant,1214 QUEEN ST W,1214 QUEEN ST W,"NA",9286458794,5869546954,w@icxysqo.jyq,"NA",Under 1 year,Over 20 years,12,13,25,10,28,13,Y,Y,Y,N,Mediterranean,N,Average,101,9,21,N,Own,3622144,123424,2929843,16677,12713,29947,330,358,348,4
2060,GLAMOUR BAR AND LOUNGE,Sammy Halvorson,Restaurant,"325 WESTON RD, Unit-1B","325 WESTON RD, Unit-1B","NA",7587355416,6437185217,tqucgny@ioe.qor,"NA",11-20 years,1-5 years,27,29,22,24,5,32,N,Y,Y,N,Chinese,N,Low-end,116,12,20,N,Own,3770848,477436,4942555,22863,11718,14058,93,417,329,3
2061,GLAMOUR SPORTS BAR,Brent Parisian,Restaurant,1474 ST CLAIR AVE W,1474 ST CLAIR AVE W,"NA",2796391453,5368318491,vtbf@rqjnwczdey.atx,"NA",6-10 years,Over 20 years,25,19,29,10,26,11,Y,N,Y,N,Indian,N,Low-end,63,10,22,Y,Lease,171094,626179,3704343,8928,17779,35889,156,201,452,3
2062,GLENGARRY ARMS,Emely Kihn,Restaurant,2871 ST CLAIR AVE E,2871 ST CLAIR AVE E,"NA",3747427681,7921286283,kpbjirmz@csmpwavt.xec,"NA",Under 1 year,Over 20 years,7,19,28,22,1,15,N,Y,Y,N,Others,N,Average,62,9,22,Y,"Lease, want to purchase",5206,721583,4156873,3874,4489,30789,236,76,230,4
2063,GLO-HAR VARITY & GROCERY,Leonia Kozey,Restaurant,4455 SHEPPARD AVE E,4455 SHEPPARD AVE E,"NA",4719816359,8262878493,erwakghqx@fnu.kzv,"NA",1-5 years,1-5 years,24,27,17,37,17,13,Y,Y,N,N,Japanese,N,Low-end,77,9,22,N,Lease,2735952,606353,1080366,14028,21624,1155,402,497,92,3
2064,GLOBALLY LOCAL,Darrin Emard,Restaurant,492 COLLEGE ST,492 COLLEGE ST,"NA",7966414259,5984731254,mxritd@jna.coa,"NA",6-10 years,11-20 years,13,19,2,27,9,39,Y,N,Y,Y,Others,N,High-end,91,11,22,N,Lease,3505050,361785,1288010,21736,4051,20514,218,334,74,2
2065,GLOBE BISTRO,Gil Roberts,Restaurant,124 DANFORTH AVE,124 DANFORTH AVE,"NA",7855418931,9327566831,zrqiop@lou.qag,"NA",1-5 years,Over 20 years,13,5,8,14,10,32,N,Y,Y,N,Korean,N,Low-end,6,9,19,N,Own,1796138,550131,2163952,32120,11876,14889,363,45,165,3
2066,GLORY OF INDIA,Sung Bashirian,Restaurant,1407 QUEEN ST W,1407 QUEEN ST W,"NA",6397626741,7548272751,bdry@np.cvk,"NA",1-5 years,Over 20 years,19,20,11,35,21,12,Y,Y,N,N,Mexican,N,Low-end,91,11,19,N,Own,202543,97186,4177990,39072,4451,20614,147,256,452,1
2067,GM BILLIARDS CAFE,Margie Fadel,Restaurant,1224 DANFORTH AVE,1224 DANFORTH AVE,"NA",4957184638,6415413782,fmtywueq@nxk.wcn,"NA",1-5 years,1-5 years,5,12,12,28,31,30,Y,Y,Y,N,Japanese,N,Low-end,62,11,20,Y,Lease,920176,431195,1698339,10114,22033,20906,462,318,4,3
2068,GOA INDIAN FARM KITCHEN,Cristopher Kessler,Restaurant,"2901 BAYVIEW AVE, Unit-102B","2901 BAYVIEW AVE, Unit-102B","NA",4823499286,1352891269,jdtkm@bwnyvsakjl.ftq,"NA",Under 1 year,Under 1 year,6,3,7,33,8,9,Y,Y,N,N,Japanese,N,Low-end,17,9,21,Y,Lease,2077491,691691,4891883,27600,16437,18745,50,388,371,4
2069,GOAT COFFEE CO.,Corinna Langworth,Restaurant,893 PAPE AVE,893 PAPE AVE,"NA",7247389826,7169271238,bwzk@jmq.wnp,"NA",6-10 years,1-5 years,6,3,6,24,26,2,Y,N,N,N,Italian,Y,High-end,70,10,19,Y,Lease,4493294,133733,1612689,3068,21604,15322,446,52,164,4
2070,GOD BLESS CANADA,Jed Legros,Restaurant,1986 WESTON RD,1986 WESTON RD,"NA",4588163519,2743811675,lh@xmuyfps.wcs,"NA",6-10 years,1-5 years,7,11,25,8,0,23,Y,N,Y,N,Chinese,Y,Low-end,11,11,21,N,Own,3047134,154988,362050,13418,14939,2473,369,39,486,1
2071,GODAVARI,Glenn Lueilwitz,Restaurant,795 MARKHAM RD,795 MARKHAM RD,"NA",6343149368,5364391382,myrc@shfyjumpan.ipq,"NA",Under 1 year,Under 1 year,7,17,3,36,17,20,Y,N,Y,N,Greek,N,Low-end,33,9,17,N,Lease,4199343,396140,1229826,20563,20981,25451,36,346,401,1
2072,GODSPEED BREWERY,Sylvester Howell,Restaurant,242 COXWELL AVE,242 COXWELL AVE,"NA",5493645463,6826587632,btqinveacr@a.iyv,"NA",11-20 years,1-5 years,12,5,20,30,17,6,Y,N,N,N,Greek,N,Average,20,11,19,N,Lease,2315392,385691,3069574,25345,13980,4799,279,4,459,4
2073,GOH YANG RESTAURANT,Hope Lueilwitz,Restaurant,5096 DUNDAS ST W,5096 DUNDAS ST W,"NA",8656757283,7817261276,krtgxp@zkcremlvp.rmp,"NA",Over 20 years,Under 1 year,25,7,1,9,14,21,Y,N,Y,Y,Mexican,N,Average,132,12,20,N,Lease,3272798,90604,8575,1310,15537,30628,203,112,433,2
2074,GOJIMA JAPANESE RESTAURANT,Gabriella Doyle,Restaurant,3345 BLOOR ST W,3345 BLOOR ST W,"NA",4136311396,6845632946,kxfqoyepsc@xbzehnu.ytx,"NA",6-10 years,11-20 years,29,10,14,17,23,34,Y,N,Y,N,Thai,N,Low-end,49,11,22,Y,"Lease, want to purchase",216897,779040,4282426,6242,7666,23570,463,396,300,3
2075,GOLDEN (GECKO) COFFEE,Dan Steuber,Restaurant,282 JANE ST,282 JANE ST,"NA",2197351654,5735488452,pau@bsgindr.lsr,"NA",6-10 years,Over 20 years,18,1,1,19,29,10,Y,N,N,Y,Japanese,N,Low-end,58,10,20,N,Lease,3149550,672267,3334608,21982,2518,29358,280,350,157,4
2076,GOLDEN ASIAN CUISINE,Curtis King,Restaurant,"123 REXDALE BLVD, Unit-7","123 REXDALE BLVD, Unit-7","NA",9266744152,4182918513,hdnbjgpe@aofwx.avd,"NA",1-5 years,1-5 years,11,29,16,36,30,2,Y,Y,Y,N,Mediterranean,Y,Low-end,13,10,18,N,Lease,4619676,986297,2126922,3305,20279,16944,79,288,379,2
2077,GOLDEN COOK CARRIBEAN RESTAURANT,Chelsea Jakubowski,Restaurant,"2955 LAKE SHORE BLVD W, Bldg-0","2955 LAKE SHORE BLVD W, Bldg-0","NA",2743463547,5136323768,jtqfhcy@g.kxr,"NA",1-5 years,Under 1 year,21,4,2,37,20,30,Y,Y,Y,N,Korean,N,Low-end,67,11,19,Y,Lease,1461796,687419,1737001,22437,6118,30932,333,235,293,2
2078,GOLDEN CRISP FISH & CHIPS,Garfield Beer,Restaurant,1354 WESTON RD,1354 WESTON RD,"NA",3698198621,1485622814,akirqy@gdw.lvy,"NA",1-5 years,1-5 years,5,15,1,18,33,37,Y,Y,Y,N,Mediterranean,Y,Average,61,10,17,Y,Lease,2811401,872035,811328,19142,24580,22148,469,36,464,3
2079,GOLDEN DINER FAMILY RESTAURANT,Ruthann Cassin,Restaurant,105 CARLTON ST,105 CARLTON ST,"NA",7168676579,7326574236,g@psxdh.fco,"NA",11-20 years,11-20 years,27,21,9,19,23,7,Y,N,Y,N,Korean,N,Low-end,69,12,17,N,Lease,4914888,403785,1698708,14117,4478,1960,416,118,390,2
2080,GOLDEN DUMPLING,Albert Huel,Restaurant,"4271 SHEPPARD AVE E, Unit-11","4271 SHEPPARD AVE E, Unit-11","NA",2911626758,2932986429,qeynw@znvy.hdw,"NA",11-20 years,1-5 years,25,9,7,37,17,27,Y,Y,Y,N,Chinese,Y,Low-end,130,9,18,N,"Lease, want to purchase",3382332,559971,2424561,19297,20921,22733,468,4,17,1
2081,GOLDEN FALAFEL,Wade Barrows,Restaurant,3128 DUNDAS ST W,3128 DUNDAS ST W,"NA",9818398254,8574634531,tvaszi@zgjiurmxwf.ihq,"NA",1-5 years,6-10 years,22,20,2,20,36,11,Y,Y,Y,N,Indian,Y,Average,148,12,20,Y,Lease,3083718,764394,4545241,13133,7995,9248,314,437,74,1
2082,GOLDEN GINGER THAI AND CHINESE RESTAURANT,Malcolm Windler,Restaurant,"1176 DANFORTH AVE, Apt-1176","1176 DANFORTH AVE, Apt-1176","NA",3542635296,3412179541,m@efaziy.esh,"NA",Over 20 years,Under 1 year,18,1,20,22,33,9,N,N,Y,N,Mediterranean,N,High-end,125,10,18,N,Lease,4417767,765542,4166136,28705,18562,39244,300,228,60,2
2083,GOLDEN HOUSE,Treva Padberg,Restaurant,1280 YONGE ST,1280 YONGE ST,"NA",7131371924,2388439823,z@cfbd.doi,"NA",1-5 years,1-5 years,15,21,1,21,19,13,N,N,Y,N,Italian,N,Average,54,10,17,N,Own,2063573,513363,3091337,27231,23729,26208,0,12,15,1
2084,GOLDEN HOUSE CHINESE RESTAURANT,Earlene Gusikowski,Restaurant,257 ELLESMERE RD,257 ELLESMERE RD,"NA",4713429451,4972697259,zlrbu@esbz.xlk,"NA",6-10 years,Over 20 years,18,14,23,32,19,18,Y,N,Y,N,Mexican,Y,High-end,103,10,19,Y,Own,12632,895666,24004,17803,5503,9512,385,99,491,2
2085,GOLDEN KRUST CARIBBEAN RESTAURANT,Jim McLaughlin,Restaurant,"1700 WILSON AVE, Unit-195","1700 WILSON AVE, Unit-195","NA",8324388416,9621293285,yd@ogymeucf.bur,"NA",1-5 years,Over 20 years,22,2,12,38,5,20,Y,Y,N,N,Japanese,N,Low-end,99,9,21,N,Own,289250,706350,1912906,22251,19576,21202,79,1,276,3
2086,GOLDEN LION,Carri Kautzer,Restaurant,15 CANMOTOR AVE,15 CANMOTOR AVE,"NA",7534281498,9135174287,esa@fgztrsn.ivx,"NA",Over 20 years,1-5 years,27,24,24,10,3,30,Y,Y,Y,N,Italian,N,High-end,19,11,19,N,Lease,122619,692826,996740,6397,4137,35546,201,169,257,4
2087,GOLDEN PIZZA,Mayola Kilback,Restaurant,1201 BROADVIEW AVE,1201 BROADVIEW AVE,"NA",3425299315,2486135367,q@jdnxif.mkb,"NA",1-5 years,Under 1 year,25,21,3,25,39,14,N,Y,N,N,Greek,N,Low-end,78,12,19,N,Own,2146282,615808,1451559,37059,12947,9903,197,144,68,2
2088,GOLDEN PIZZA,Armand Ortiz,Restaurant,2360 DANFORTH AVE,2360 DANFORTH AVE,"NA",8769157385,5398478127,nhgblaxtm@mtzfjerc.ydv,"NA",11-20 years,Over 20 years,19,5,19,15,1,15,Y,N,N,N,Italian,Y,Low-end,139,10,20,N,Own,613254,957905,2419848,30640,5900,16419,155,276,280,1
2089,GOLDEN RICE NOODLES,Sharice Dietrich,Restaurant,"4750 YONGE ST, Unit-109&113","4750 YONGE ST, Unit-109&113","NA",1724171953,9639174961,czsjkbhq@bagxp.gvj,"NA",Over 20 years,1-5 years,7,17,28,28,7,28,N,N,Y,N,Mediterranean,N,Average,15,9,22,N,Own,342416,587342,239737,27623,10160,14953,168,104,293,3
2090,GOLDEN STAR,Chas Jewess,Restaurant,"6620 FINCH AVE W, Unit-2-3{","6620 FINCH AVE W, Unit-2-3{","NA",5388138623,5685237264,m@kdtg.yfc,"NA",1-5 years,1-5 years,28,16,4,30,22,19,Y,N,Y,N,Thai,N,Low-end,104,11,18,N,Own,2993301,471401,610023,590,20179,19524,248,491,206,4
2091,GOLDEN STAR NOODLE RESTAURANT,Toya Batz,Restaurant,1690 JANE ST,1690 JANE ST,"NA",5792549467,4763242571,hqzsnvmwur@cfbi.nfh,"NA",1-5 years,6-10 years,16,4,17,16,5,34,Y,N,N,N,Japanese,Y,Low-end,94,11,19,Y,Lease,4615949,328638,2617814,24688,14283,22639,139,236,288,3
2092,GOLDEN STAR RESTAURANT,Lois Waters,Restaurant,3434 WESTON RD,3434 WESTON RD,"NA",3495717519,1579157816,p@cik.sfb,"NA",11-20 years,11-20 years,14,8,25,26,8,24,Y,Y,Y,N,Mexican,Y,Low-end,85,12,19,Y,Lease,4895463,434653,3034754,28277,23469,36107,346,427,447,4
2093,GOLDEN STAR RESTAURANT,Laurette Rutherford,Restaurant,"2133 JANE ST, Unit-6","2133 JANE ST, Unit-6","NA",7496799432,9564871347,iljyvnb@ubyvjqop.vqh,"NA",1-5 years,Under 1 year,23,9,3,24,8,17,N,N,Y,N,Korean,Y,Low-end,75,9,19,N,"Lease, want to purchase",4417523,267455,4583998,21563,7395,30413,186,201,288,1
2094,GOLDEN STOVE RESTAURANT,Yessenia Morar,Restaurant,2418 LAKE SHORE BLVD W,2418 LAKE SHORE BLVD W,"NA",6853811894,9174383675,mbtdfhgs@wvuecs.unp,"NA",1-5 years,11-20 years,28,26,26,29,36,31,Y,Y,Y,N,Japanese,N,Low-end,24,9,17,Y,Lease,244680,844187,3907480,11456,2947,2463,411,482,235,1
2095,GOLDEN THAI RESTAURANT,Juliann Metz,Restaurant,105 CHURCH ST,105 CHURCH ST,"NA",6581964619,2758193526,djhurynxo@egc.dsh,"NA",Under 1 year,6-10 years,29,24,29,18,23,14,Y,N,Y,N,Japanese,N,Low-end,119,9,21,N,Own,3627578,534570,1021531,1723,22782,614,224,129,273,4
2096,GOLDEN WHEAT BAKERY & PASTRY,Argentina Stiedemann,Restaurant,652 COLLEGE ST,652 COLLEGE ST,"NA",6973244726,5671572158,fdlyoghma@kd.idr,"NA",6-10 years,11-20 years,21,19,14,13,12,36,Y,Y,Y,N,Japanese,N,Average,138,11,20,N,Lease,2632990,569409,4736869,6572,8233,26607,322,23,47,2
2097,GOLDEN WOK CHINESE RESTAURANT,Clemente Boyle,Restaurant,120 ERINGATE DR,120 ERINGATE DR,"NA",6576181356,3672985817,tjrqmwzaf@nwgjruy.ojq,"NA",1-5 years,1-5 years,21,23,10,15,30,34,Y,N,N,N,Mexican,Y,Low-end,68,9,19,Y,Own,2391585,623499,4358705,30946,19199,58,251,482,263,3
2098,GOLDIE,Pedro Nitzsche,Restaurant,619 KING ST W,619 KING ST W,"NA",3641987529,3287946457,yxbvsmq@jtqyb.goh,"NA",1-5 years,1-5 years,25,3,20,26,38,20,Y,Y,Y,Y,Japanese,Y,Low-end,25,11,18,Y,Own,2858640,575853,326674,4329,10143,16080,45,232,111,3
2099,GOLDSTONE NOODLE,Ricky Streich,Restaurant,266 SPADINA AVE,266 SPADINA AVE,"NA",2145965128,9713698521,jpkistwr@scdixzym.lir,"NA",1-5 years,Under 1 year,15,10,17,21,24,2,Y,N,N,Y,Indian,N,High-end,49,11,17,N,Lease,1755863,308457,1518538,15877,18939,2736,493,194,468,1
2100,GOLDSTRUCK,Katina Russel,Restaurant,130 CUMBERLAND ST,130 CUMBERLAND ST,"NA",7856937426,2946846283,yxzdji@jnvtm.wxs,"NA",1-5 years,Over 20 years,14,2,24,12,21,6,Y,Y,Y,N,Greek,N,High-end,67,12,18,N,Own,1814869,450006,2968064,19417,24226,34323,148,424,130,4
2101,GONG CHA,Dong Kassulke,Restaurant,5449 YONGE ST,5449 YONGE ST,"NA",9875898943,1252517163,tilvaupns@cov.lgy,"NA",1-5 years,1-5 years,17,16,24,25,23,15,Y,Y,Y,N,Mexican,Y,Low-end,57,9,18,N,Own,3085639,910983,42288,23858,14324,11659,7,87,346,2
2102,GONG CHA,Mai Feeney,Restaurant,"3290 MIDLAND AVE, Unit-5","3290 MIDLAND AVE, Unit-5","NA",2563964396,3981857129,lu@pv.xpj,"NA",Under 1 year,1-5 years,27,13,26,27,25,27,Y,N,Y,N,Japanese,Y,Average,109,11,19,N,Lease,1471428,727364,3026016,21170,16781,17401,461,165,284,4
2103,GONG CHA,Mack Ritchie,Restaurant,390 QUEEN ST W,390 QUEEN ST W,"NA",2746799432,7963453876,v@csyxpukz.sdm,"NA",1-5 years,11-20 years,22,9,22,21,38,24,Y,N,N,Y,Greek,N,Low-end,95,9,18,Y,Lease,192392,642036,3211449,30757,7039,31331,148,228,185,4
2104,GONG CHA,Johnson Monahan,Restaurant,417 BLOOR ST W,417 BLOOR ST W,"NA",4391698276,7981363912,ivusclrn@wi.atp,"NA",6-10 years,Under 1 year,21,24,17,33,30,31,Y,N,N,N,American,N,High-end,129,11,20,N,"Lease, want to purchase",3452826,35985,631406,20137,2557,6301,175,290,94,1
2105,GONG CHA,Samual Crist,Restaurant,"95 THE POND RD, Unit-30","95 THE POND RD, Unit-30","NA",2543962167,8597925819,keutjzb@dnuytbkam.tvg,"NA",1-5 years,Over 20 years,13,3,4,28,4,9,Y,Y,Y,N,Chinese,N,Average,114,11,17,Y,"Lease, want to purchase",1196921,15028,2582610,39227,12848,19512,123,65,320,3
2106,GONG CHA,Gregory Corwin,Restaurant,575 YONGE ST,575 YONGE ST,"NA",9155175764,9864162861,dzrplaguxq@qomarkdh.awy,"NA",1-5 years,1-5 years,7,12,9,33,23,36,Y,Y,Y,Y,Greek,N,Average,126,10,20,N,Lease,2163248,981837,364181,35751,20868,4724,171,351,52,1
2107,GONOE SUSHI,Lizabeth Klein,Restaurant,262 QUEENS QUAY W,262 QUEENS QUAY W,"NA",1289476842,8357486798,nqrjc@tg.odx,"NA",6-10 years,Under 1 year,27,7,27,20,33,35,Y,N,Y,N,Vietnamese,Y,Average,33,12,21,Y,"Lease, want to purchase",4595656,367010,2963851,7372,2922,30829,303,410,5,2
2108,GONOE SUSHI,Howard Nicolas,Restaurant,"1310 DON MILLS RD, Unit-1","1310 DON MILLS RD, Unit-1","NA",9849365412,7932575817,axwm@dzcopwyb.xcp,"NA",Under 1 year,6-10 years,18,29,11,37,2,27,Y,N,Y,N,Vietnamese,N,Low-end,94,9,18,N,Lease,182926,596504,3254439,36769,17385,35770,374,345,47,4
2109,GOOD BITE RESTAURANT,Lonnie Smith,Restaurant,2463 YONGE ST,2463 YONGE ST,"NA",2548392469,1321973581,kgvrzyb@xukazbopgn.fzh,"NA",1-5 years,6-10 years,28,1,17,36,29,22,Y,Y,N,N,Others,N,Low-end,27,11,22,Y,Own,687693,267511,1536614,12079,5528,30367,153,244,112,1
2110,GOOD CHEESE,Cher Morar,Restaurant,614 GERRARD ST E,614 GERRARD ST E,"NA",1488718754,9712714157,ezciftgvjk@sn.pvw,"NA",1-5 years,1-5 years,16,14,5,16,33,11,Y,Y,Y,N,Vietnamese,N,Average,59,11,18,Y,Lease,911383,297480,2656118,23548,20918,9562,104,118,210,1
2111,GOOD FORK,Domenica Upton,Restaurant,1544 DUNDAS ST W,1544 DUNDAS ST W,"NA",4198634325,5395845284,utogjvrlq@onpidt.ghx,"NA",6-10 years,11-20 years,27,5,9,27,28,2,Y,Y,N,N,Chinese,N,Low-end,67,11,18,Y,Own,553746,658951,1481621,3174,24270,6701,202,250,174,1
2112,GOOD KARMA,Dustin Stokes,Restaurant,55 AVENUE RD,55 AVENUE RD,"NA",7596199164,3789248465,ifdmpvur@jdy.qcu,"NA",Under 1 year,1-5 years,26,8,23,25,34,38,Y,N,Y,N,Vietnamese,N,Low-end,40,9,18,N,Lease,2849977,486705,1440972,21785,22151,34147,340,310,137,1
2113,GOOD KARMA QUEEN STREET,Justin Koepp,Restaurant,689 QUEEN ST E,689 QUEEN ST E,"NA",7494278967,7428962417,g@r.hmf,"NA",Under 1 year,1-5 years,11,19,21,22,9,12,N,Y,Y,N,Greek,Y,Low-end,100,9,17,Y,Own,716998,351045,3902201,680,20238,31392,223,494,352,4
2114,GOOD LUCK CHINESE RESTAURANT,Denice Bosco,Restaurant,2432 EGLINTON AVE E,2432 EGLINTON AVE E,"NA",1291382596,6926136845,qlkfpaso@jfkvoga.rvb,"NA",1-5 years,1-5 years,18,15,5,11,11,25,N,Y,Y,N,Mediterranean,Y,Average,30,12,17,N,Lease,1079786,127836,2535901,7188,17207,20227,148,386,97,3
2115,GOOD MORNING FRIENDS,Jani Anderson,Restaurant,"5050 DUFFERIN ST, Unit-124","5050 DUFFERIN ST, Unit-124","NA",7262698294,5467955748,aes@ksand.mhl,"NA",1-5 years,Under 1 year,29,9,22,18,29,5,N,N,Y,N,Italian,Y,Low-end,95,12,17,Y,Lease,2457693,693368,4236251,11873,12212,12864,380,247,85,2
2116,GOOD TASTE CASSEROLE RICE,Stacie Vandervort,Restaurant,"325 BAMBURGH CRCL, Unit-A109","325 BAMBURGH CRCL, Unit-A109","NA",7589158925,1726595791,ozrwmqv@cnexm.bcr,"NA",1-5 years,1-5 years,10,11,5,17,29,34,Y,N,N,N,Korean,N,High-end,108,11,21,Y,Own,3721435,50069,2099730,31436,13019,39234,479,7,392,4
2117,GOOD TIME COFFEE,Walter Hettinger,Restaurant,1946 GERRARD ST E,1946 GERRARD ST E,"NA",8233157956,5285891257,fadplbgtzx@exrys.fnw,"NA",1-5 years,11-20 years,20,26,18,35,9,20,Y,Y,N,N,Mediterranean,Y,Low-end,74,11,20,N,Own,1435335,670467,2512276,17735,13326,9240,145,481,142,1
2118,GOOD TO GO - RICHTREE NATURAL MARKET RESTAURANTS -,Jaime Runolfsdottir,Restaurant,1 DUNDAS ST W,1 DUNDAS ST W,"NA",5425928753,3263726897,jizvtuekh@uswdl.wqd,"NA",1-5 years,6-10 years,15,11,8,33,27,10,Y,N,Y,N,Others,N,Low-end,12,10,17,N,Own,4007883,433644,2633361,23418,22666,36912,265,405,382,2
